"","address_id","change_id","address_type","address_number","suburb_locality","town_city","full_address_number","full_road_name","full_address","road_section_id","gd2000_xcoord","gd2000_ycoord","suburb_locality_ascii","town_city_ascii","full_road_name_ascii","full_address_ascii","unit_value","address_number_suffix"
"58",220185,202952,"Road",71,"Christchurch Central","Christchurch","71","Cambridge Terrace","71 Cambridge Terrace, Christchurch Central, Christchurch",29258,172.6317,-43.5339,"Christchurch Central","Christchurch","Cambridge Terrace","71 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"59",2107845,2958128,"Road",80,"Christchurch Central","Christchurch","201/80","Hereford Street","201/80 Hereford Street, Christchurch Central, Christchurch",29008,172.6344,-43.5322,"Christchurch Central","Christchurch","Hereford Street","201/80 Hereford Street, Christchurch Central, Christchurch","201",NA
"60",1734705,1463028,"Road",4,"Christchurch Central","Christchurch","4","Plymouth Lane","4 Plymouth Lane, Christchurch Central, Christchurch",45981,172.6349,-43.534,"Christchurch Central","Christchurch","Plymouth Lane","4 Plymouth Lane, Christchurch Central, Christchurch",NA,NA
"61",2107849,2958132,"Road",80,"Christchurch Central","Christchurch","304/80","Hereford Street","304/80 Hereford Street, Christchurch Central, Christchurch",29008,172.6344,-43.5322,"Christchurch Central","Christchurch","Hereford Street","304/80 Hereford Street, Christchurch Central, Christchurch","304",NA
"62",2107852,2958135,"Road",80,"Christchurch Central","Christchurch","80","Hereford Street","80 Hereford Street, Christchurch Central, Christchurch",29008,172.6343,-43.5322,"Christchurch Central","Christchurch","Hereford Street","80 Hereford Street, Christchurch Central, Christchurch",NA,NA
"63",2102116,2938653,"Road",48,"Christchurch Central","Christchurch","48","Hereford Street","48 Hereford Street, Christchurch Central, Christchurch",33286,172.632,-43.5324,"Christchurch Central","Christchurch","Hereford Street","48 Hereford Street, Christchurch Central, Christchurch",NA,NA
"64",228451,209781,"Road",99,"Christchurch Central","Christchurch","99","Cashel Street","99 Cashel Street, Christchurch Central, Christchurch",44872,172.6351,-43.533,"Christchurch Central","Christchurch","Cashel Street","99 Cashel Street, Christchurch Central, Christchurch",NA,NA
"65",2107855,2958138,"Road",86,"Christchurch Central","Christchurch","86","Hereford Street","86 Hereford Street, Christchurch Central, Christchurch",29008,172.6345,-43.5323,"Christchurch Central","Christchurch","Hereford Street","86 Hereford Street, Christchurch Central, Christchurch",NA,NA
"66",227528,209097,"Road",114,"Christchurch Central","Christchurch","114","Cashel Street","114 Cashel Street, Christchurch Central, Christchurch",44872,172.6352,-43.5332,"Christchurch Central","Christchurch","Cashel Street","114 Cashel Street, Christchurch Central, Christchurch",NA,NA
"67",2107847,2958130,"Road",80,"Christchurch Central","Christchurch","302/80","Hereford Street","302/80 Hereford Street, Christchurch Central, Christchurch",29008,172.6343,-43.5322,"Christchurch Central","Christchurch","Hereford Street","302/80 Hereford Street, Christchurch Central, Christchurch","302",NA
"68",2107844,2958127,"Road",80,"Christchurch Central","Christchurch","101/80","Hereford Street","101/80 Hereford Street, Christchurch Central, Christchurch",29008,172.6344,-43.5322,"Christchurch Central","Christchurch","Hereford Street","101/80 Hereford Street, Christchurch Central, Christchurch","101",NA
"69",220189,202956,"Road",71,"Christchurch Central","Christchurch","71","Hereford Street","71 Hereford Street, Christchurch Central, Christchurch",38564,172.6335,-43.5319,"Christchurch Central","Christchurch","Hereford Street","71 Hereford Street, Christchurch Central, Christchurch",NA,NA
"70",2107848,2958131,"Road",80,"Christchurch Central","Christchurch","303/80","Hereford Street","303/80 Hereford Street, Christchurch Central, Christchurch",29008,172.6344,-43.5322,"Christchurch Central","Christchurch","Hereford Street","303/80 Hereford Street, Christchurch Central, Christchurch","303",NA
"71",2107854,2958137,"Road",84,"Christchurch Central","Christchurch","84","Hereford Street","84 Hereford Street, Christchurch Central, Christchurch",29008,172.6345,-43.5322,"Christchurch Central","Christchurch","Hereford Street","84 Hereford Street, Christchurch Central, Christchurch",NA,NA
"72",227538,1540950,"Road",116,"Christchurch Central","Christchurch","116","Cashel Street","116 Cashel Street, Christchurch Central, Christchurch",44872,172.6352,-43.5332,"Christchurch Central","Christchurch","Cashel Street","116 Cashel Street, Christchurch Central, Christchurch",NA,NA
"73",2038141,2938652,"Road",46,"Christchurch Central","Christchurch","46","Hereford Street","46 Hereford Street, Christchurch Central, Christchurch",33286,172.6316,-43.5326,"Christchurch Central","Christchurch","Hereford Street","46 Hereford Street, Christchurch Central, Christchurch",NA,NA
"74",1759399,1549494,"Road",33,"Christchurch Central","Christchurch","33","Lichfield Street","33 Lichfield Street, Christchurch Central, Christchurch",45873,172.6351,-43.5338,"Christchurch Central","Christchurch","Lichfield Street","33 Lichfield Street, Christchurch Central, Christchurch",NA,NA
"75",220175,202943,"Road",69,"Christchurch Central","Christchurch","69","Cambridge Terrace","69 Cambridge Terrace, Christchurch Central, Christchurch",29258,172.6316,-43.534,"Christchurch Central","Christchurch","Cambridge Terrace","69 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"76",2107853,2958136,"Road",82,"Christchurch Central","Christchurch","82","Hereford Street","82 Hereford Street, Christchurch Central, Christchurch",29008,172.6345,-43.5322,"Christchurch Central","Christchurch","Hereford Street","82 Hereford Street, Christchurch Central, Christchurch",NA,NA
