id,company,created_at,developer,game,porting,publisher,supporting
8,7,1298937600,true,38,false,false,false
36511,1926,1466035200,true,570,false,false,false
747,203,1302566400,true,39,false,false,false
19457,51,1415404800,true,3182,false,true,false
2837,45,1345248000,false,1187,false,true,false
7374,1393,1381190400,true,2899,false,false,false
19773,378,1416182400,true,41,false,false,false
8226,1,1384992000,false,1051,false,true,false
20113,37,1417737600,true,8254,false,true,false
6250,847,1374019200,true,1305,false,false,false
4483,30,1371945600,true,109,false,false,false
19598,26,1415836800,true,426,false,true,false
5703,29,1372896000,false,731,false,true,false
6183,1002,1373500800,true,2115,false,false,false
42805,223,1481500800,false,76,true,false,false
8516,365,1388188800,true,3265,false,false,false
65549,37,1528761600,true,19686,false,true,false
1011,112,1303171200,false,333,false,true,false
1066,184,1303430400,true,286,false,false,false
8170,365,1384732800,true,3174,false,false,false
33845,8,1458000000,false,538,false,true,false
33980,70,1458518400,false,1559,false,true,false
1072,344,1303430400,false,286,false,true,false
19454,4090,1415404800,false,126,false,true,false
9853,38,1390003200,true,1266,false,false,false
46787,362,1494633600,false,986,false,false,true
40635,26,1476230400,false,8173,false,true,false
3863,255,1362268800,true,1183,false,false,false
4944,652,1372464000,false,1426,false,true,false
45918,1,1492041600,false,620,false,true,false
7663,56,1382140800,true,2963,false,true,false
24527,291,1435622400,true,1164,false,false,false
71906,1444,1543622400,true,4438,false,false,false
16140,722,1400198400,true,6803,false,false,false
12887,129,1392076800,false,5328,false,true,false
6062,755,1373328000,false,1062,false,true,false
50746,26,1497225600,false,29004,false,true,false
13512,2493,1395273600,false,16,false,true,false
14516,37,1397347200,false,1271,false,true,false
43915,70,1485302400,false,9602,false,true,false
22801,27,1428451200,true,9498,false,false,false
35919,48,1465344000,true,19470,false,false,false
46284,197,1493424000,false,1269,false,true,false
45619,10100,1490832000,false,26193,false,true,false
541,104,1302220800,false,136,false,true,false
64243,2898,1523750400,true,6739,false,true,false
69146,918,1535068800,true,1906,false,true,false
34653,26,1460592000,false,421,false,true,false
53472,3573,1503446400,false,359,false,false,true
60333,4009,1516579200,false,8197,true,false,false
48082,847,1495756800,false,28552,false,false,true
17934,637,1408147200,true,960,false,false,false
17935,638,1408147200,true,960,false,false,false
58893,1,1512691200,false,36897,false,true,false
37679,552,1468886400,true,7323,false,false,false
18341,2675,1413504000,true,2136,false,false,false
9381,94,1389139200,true,1979,false,false,false
18534,139,1414454400,false,3174,false,true,false
18684,1,1414627200,false,142,false,true,false
69437,634,1536105600,false,7386,false,true,false
18934,9,1414800000,true,60,false,false,false
18928,24,1414800000,false,233,false,true,false
38707,4357,1471478400,true,19560,false,false,false
19573,4107,1415750400,false,425,false,true,false
35783,70,1464825600,false,1512,false,true,false
19829,139,1416787200,false,109,false,true,false
19816,398,1416528000,true,1341,false,false,false
19592,321,1415836800,true,426,false,false,false
20635,66,1419465600,false,62,false,true,false
27400,37,1445558400,true,3186,false,true,false
24,15,1299196800,true,21,false,false,false
42291,223,1480550400,false,73,true,false,false
42247,3190,1480464000,false,18,true,false,false
20076,139,1417564800,false,39,false,true,false
20075,139,1417564800,false,40,false,true,false
42359,852,1480723200,true,11208,false,false,false
21591,51,1421971200,true,1279,false,true,false
22431,104,1425686400,false,2114,false,true,false
22283,70,1424390400,false,1105,false,true,false
22267,45,1424390400,false,6036,false,true,false
63910,39,1522713600,false,1970,false,false,true
24331,26,1434412800,true,11169,false,true,false
33824,1,1457913600,false,494,false,true,false
35781,70,1464825600,false,1561,false,true,false
43572,10426,1484265600,true,21062,false,false,false
33954,70,1458345600,false,1558,false,true,false
18517,38,1414454400,true,1970,false,false,false
55889,809,1508284800,false,11161,false,false,true
25488,445,1440115200,false,7352,false,true,false
58635,26,1511913600,false,530,false,true,false
2836,401,1345248000,true,1187,false,false,false
43902,876,1485302400,true,1628,false,false,false
26416,769,1442275200,true,12571,false,false,false
38437,4291,1470960000,false,20275,false,true,false
51702,1366,1499299200,true,534,false,false,false
69095,2910,1534896000,false,26758,false,false,true
17420,104,1402444800,false,7360,false,true,false
17339,38,1402358400,true,6801,false,false,false
39136,5213,1472860800,false,9730,false,true,false
5116,129,1372550400,false,1985,false,true,false
45113,45,1489104000,false,499,false,true,false
45096,12298,1489017600,true,5601,false,true,false
35579,51,1464048000,true,8173,false,true,false
19007,26,1414886400,false,873,false,true,false
59884,11608,1515628800,false,5025,false,true,false
22513,620,1427068800,true,740,false,false,false
96,60,1300060800,true,125,false,false,false
52740,908,1501804800,true,22439,false,false,false
1839,12,1317686400,true,832,false,false,false
69,1,1300060800,false,78,false,true,false
46349,70,1493683200,false,26761,false,true,false
4188,94,1368144000,true,343,false,false,false
4182,82,1368144000,false,1928,false,true,false
62835,398,1520553600,false,90099,false,false,true
2450,421,1326240000,true,1022,false,false,false
42068,73,1480204800,false,509,true,true,false
4359,122,1370736000,true,296,false,false,false
4178,438,1368144000,true,621,false,false,false
